messageId;content
457286994363580_457750284317251;+++ TRANSPORTER, LKW'S, ETC. GESUCHT +++ Für den Abtransport von Sandsäcken auf der Halbinsel Poch werden dringend Transportfahrzeuge gesucht!
457286994363580_457773480981598;"In Magdeburg können sich freiwillige Helfer ab morgen hier melden: 0391/ 540 77 77
Quelle: mdr.de"
457286994363580_457781184314161;Bitte um infos. Wo muss ich melden zum helfen?
457286994363580_457783997647213;Wer Hände hat die nichts zu tun haben...Wasserstadt Dessau helfen kommen !!!
457286994363580_457787537646859;Jemand aus der Region um Zörbig der zum Helfen nach Raguhn fährt.?
457286994363580_457789060980040;"+++ HALLE SUCHT HELFENDE HÄNDE +++ 

An der Eissporthalle werden Helfer gesucht!"
457286994363580_457790417646571;Werden eventuell an der mulde dessau noch helfende hände gebraucht?
457286994363580_457793960979550;wo werden helfer in der bitterfelder umgebung gebraucht???
457286994363580_457804197645193;ACHTUNG ACHTUNG: Der Deich in der Wasserstadt in Dessau droht zu brechen. Das THW benötigt unsere Hilfe!
457286994363580_457807910978155;Wird morgen abend auch noch in halle hilfe benötigt da ich erst ab morgen gegen abend kann.???
457286994363580_457810830977863;Weiss jemand ob in schönebeck noch helfer gebraucht werden
457286994363580_457811127644500;Eben habe ich einen Anruf von der Landebahn Dessau erhalten. Es sind ca. 150 Helfer vor Ort. Bei der Einwohnerzahl von Dessau ist das nicht viel. ES WERDEN DINGEND HELFER AN DER LANDEBAHN DESSAU BENÖTIGT? bitte helft - ES KÖNNTE AUCH EUER HAUS SEIN!
457286994363580_457811764311103;"Wo wird hilfe in BTF benötigt?
"
457286994363580_457814190977527;"HILFE IN HALLE???

Wo wird noch gebraucht ???"
457286994363580_457817880977158;wo ist denn ein Treffpunkt in Magdeburg?komme nicht von hier und kenne mich nicht aus.will aber helfen. bitte antworten...
457286994363580_457822774310002;"Weil morgen die Schule ausfällt, würden einige Schüler des Heinrich-Heine-Gymnasiums Bitterfeld Wolfen mit anpacken wollen. Wo wird den besonders Hilfe benötigt?
"
457286994363580_457829030976043;"Auf der alten Landebahn in Dessau-Roßlau können fleißige Helfer sind einfinden und mit Sandsäcke befüllen ;)"
457286994363580_457830284309251;In Kleutsch werden noch Helfer benötigt für die Evakuierung des Tierheimes dort.
457286994363580_457833507642262;"Diese Nachricht haben wir vor ca 40 min von einem Helfer erhalten:

ES WERDEN SEEEEEHR DRINGEND VIELE HELFER IM WALDKATER AN DER HEIDE IN HALLE SAALE GESUCHT WEGEN SANDSÄCKE BEFÜLLEN UND AUFBAUEN JEDE HELFENDE HAND IST UNS WICHTIG!!!!BITTE BITTE KOMMT UND HELFT UNS DIE STADT ZU RETTEN"
457286994363580_457835457642067;"+++ DIE STADT HALLE BESCHREIBT DIE SITUATION ALS ""KRITISCH"" +++ DRINGEND HELFER GESUCHT +++"
457286994363580_457837374308542;+++ EILMELDUNG AUS DESSAU +++ In der Dessauer Hagenbreite gibt ein Deich nach +++ Dringend Helfer mit Sandsäcken benötigt +++
457286994363580_457839834308296;Vockerode braucht für morgen dringend Helfer!!! Ab um 10 uhr !! 
457286994363580_457842797641333;Wo kann man in Magdeburg helfen? 
457286994363580_457843257641287;"Dringende Helfer in Groß Rosenburg an der Saale ab morgen um 10 Uhr gesucht zum Sandsäcke befüllen und schleppen.
Treff: Fabrikstraße auf dem Hof von Graumann's
Es werden auch Leute für die Deichwache gesucht!"
457286994363580_457855037640109;Ab wann kann man morgen in Dessau an der Landebahn helfen?
457286994363580_457855780973368;"Wo wird zurzeit am dringensten Hilfe benötigt?

Darf man jetzt eingentlich schon ab 16 helfen oder nicht?"
457286994363580_457856647639948;Bitte Dringend mit LKW's und Staplern zum THW Dessau Alte Landebahn kommen volle säcke müssen abgeholt werden 
457286994363580_457867564305523;"Komme gerade vom Helfen am gimritzer damm in Halle....
Es schaut mega bescheiden aus.... Helfer werden noch immer gebraucht nur an der koorination  vor Ort muss dringend gearbeitet werden!!"
457286994363580_457870164305263;+++ Hochwasser-Koordinierung für freiwillige Helfer läuft in Zeitz über die Telefonnummer 0172 3784031 +++
457286994363580_457881260970820;Wo wird Hilfe benötigt? Sind aus Köthen und haben zeit
